word,frequency
в,5196
и,3149
—,2175
на,1445
с,1161
по,631
году,615
из,559
к,468
года,425
от,422
был,322
его,321
также,319
не,316
как,314
а,312
что,306
до,282
после,275
о,240
у,233
для,229
он,224
за,220
были,187
во,185
время,184
но,177
или,170
примечания,163
была,162
н.,162
язык,160
с.,158
их,158
было,156
ссылки,150
г.,146
стал,145
при,142
в.,139
под,139
они,134
1,128
а.,123
её,122
сын,118
%,113
хан,112
где,111
является,109
века,106
часть,105
это,104
она,103
со,101
территории,101
год,97
согласно,95
литература,94
же,94
город,94
000,92
среди,92
города,92
и.,91
2012,88
который,87
история,87
м.,85
роль,84
название,82
"года,",81
//,81
однако,80
так,78
состав,77
биография,76
имя,74
2011,74
т.,73
республики,73
против,73
части,72
населения,70
мира,70
э.,70
составе,70
хана,69
племени,68
население,68
золотой,66
этого,66
2,66
км2,66
рода,66
-,66
языка,65
лет,64
период,64
более,64
см.,63
между,63
государство,62
смерти,61
года.,61
когда,61
году.,61
вместе,61
есть,60
своего,60
годы,59
первый,59
4,58
свою,58
3,58
августа,57
тюркских,57
родился,57
этом,56
2013,55
затем,55
каган,55
одним,54
россии,54
языке,54
место,53
ещё,53
10,53
том,53
около,53
реки,52
все,52
начале,52
только,52
(в,52
уже,51
этот,51
орды,51
государства,51
2014,51
численность,51
сериале,51
мая,50
годах,50
них,50
других,50
через,49
то,49
несколько,49
июня,49
два,49
которые,48
сына,48
которых,48
российской,48
род,47
р.,47
второй,47
впервые,47
другие,46
уйгуры,46
2010,46
настоящее,46
связи,46
качестве,46
стала,46
происхождение,45
числе,45
истории,45
"году,",45
имени,45
февраля,45
турецкая,45
5,45
народов,45
марта,44
которой,44
главе,44
власти,44
результате,44
своих,43
один,43
себя,43
улуса,43
п.,43
группа,43
наиболее,43
династии,43
декабря,42
европы,42
2002,42
империи,42
жизнь,42
чел.,41
ибн,41
первой,41
правления,41
получил,41
родилась,41
20,41
титул,41
2015,41
ii,41
июля,40
своей,40
городе,40
три,40
б.,40
тюркского,40
2016,40
являются,40
2009,40
всего,40
центр,40
род.,40
isbn,39
тыс.,39
:,39
/,39
вскоре,39
которого,39
этой,39
над,39
орда,38
конце,38
группы,38
л.,38
манас,38
2008,38
источниках,38
свой,38
ему,38
получила,37
всех,37
карьера,37
чтобы,37
власть,37
стали,37
актриса,37
15,37
октября,37
i,37
об,37
веке,36
им,36
которая,36
чемпионате,36
участие,36
6,36
жизни,35
гг.,35
начал,35
12,35
центральной,35
племён,35
чемпион,35
войны,35
ашина,35
д.,35
данным,35
хунну,35
человек,35
области,35
восточной,35
2005,34
начала,34
позже,34
некоторые,34
имеет,34
фильме,34
площадь,34
районе,34
день,34
племена,33
2007,33
no,33
xix,33
образование,33
каганат,33
января,33
котором,32
каганата,32
двух,32
племя,32
2003,32
8,32
олимпийских,32
первым,32
район,32
государственной,32
к.,32
ноября,32
языков,31
ссср,31
некоторых,31
основном,31
русских,31
14,31
многие,31
переписи,31
17,31
улус,31
средней,31
происхождения,30
село,30
the,30
11,30
азии,30
пиньинь,30
войско,30
"м.,",30
км,30
of,30
2001,29
конца,29
дочь,29
турции,29
территория,29
игр,29
первые,29
там,29
xx,29
апреля,29
района,29
сибири,29
роли,29
тысяч,29
2019,29
памятник,28
султан,28
турецкий,28
сентября,28
земли,28
упр.,28
енисейских,28
семье,28
24,28
начало,28
26,28
него,28
2004,28
факультет,28
потомки,28
одно,27
республика,27
западной,27
войска,27
одного,27
модэ,27
мечников,27
xiv,27
"того,",27
находится,27
9,27
тюркский,27
проживают,27
различных,27
кроме,27
южной,27
2000,27
здесь,26
кит.,26
слово,26
брат,26
башня,26
13,26
этноним,26
м,26
впоследствии,26
годов,26
"том,",26
являлся,26
собой,26
ей,26
фунт,26
=,26
одной,26
личная,26
принял,26
работал,25
ханом,25
старшего,25
чемпионом,25
2006,25
народа,25
мнению,25
поход,25
русский,25
государственный,25
термин,25
тохтамыш,25
вновь,25
лишь,25
сборной,25
дата,25
уйгуров,25
23,25
2017,25
родов,25
этих,25
тан,25
первоначально,25
древних,25
м.:,25
16,25
алимулы,25
века.,25
современного,24
центром,24
19,24
кыргызы,24
фильм,24
россии.,24
другой,24
турции.,24
указан,24
многих,24
северной,24
тем,24
две,24
музей,24
человек.,24
булгары,24
называют,24
престол,24
ранее,24
(кит.,24
основе,24
вв.,24
столица,24
кагана,24
27,23
слова,23
правитель,23
составляет,23
расположен,23
играх,23
из-за,23
относится,23
отец,23
выиграл,23
народ,23
правление,23
большинство,23
своё,23
университет,23
сыграла,23
"языка,",23
берегу,23
федерации,22
древние,22
современной,22
"вероятно,",22
чемпионат,22
xvii,22
культуры,22
7,22
провинции,22
половине,22
"и,",22
им.,22
джучи,22
союз,22
можно,22
число,22
я.,21
султана,21
(с,21
отца,21
раз,21
образом,21
окончила,21
первого,21
(тур.,21
благодаря,21
считается,21
часто,21
карта,21
монгольского,21
много,21
↑,21
частично,21
восточного,21
того,21
времени,21
сам,21
эти,21
область,21
перед,21
таких,21
даже,21
большой,21
ноябрь,21
государственного,21
мира.,21
(англ.),21
уйгурского,21
эта,20
без,20
арабского,20
ряд,20
сыном,20
я,20
свои,20
нём,20
частью,20
становится,20
письменность,20
известность,20
удалось,20
киргизии,20
18,20
республике,20
партии,20
именем,20
чем,20
iv,20
xv,20
100,20
тюрки,20
х.,20
себе,20
названия,20
моян-чур,20
(по,20
находился,19
новый,19
детей,19
кучум,19
чемпионата,19
означает,19
ханства,19
китайских,19
1990,19
ф.,19
xiii,19
кг,19
альбом,19
кыргызов,19
всё,19
каганата.,19
турецкой,19
этому,19
европе,19
25,19
известный,19
первую,19
именно,19
vi,19
границы,19
(на,19
территорию,19
500,19
автор,19
«великолепный,19
если,19
ю.,19
1992,19
османской,18
(от,18
азии.,18
1995,18
палл.,18
30,18
народы,18
правители,18
сведения,18
"%),",18
юге,18
призёр,18
е.,18
этим,18
тогда,18
1991,18
арабский,18
селе,18
правителем,18
полностью,18
%),18
1917,18
школу,18
главную,18
честь,18
течение,18
области.,18
северного,18
происходит,18
избран,18
1999,18
языка.,18
озера,18
языки,18
называли,18
заняла,18
востоке,18
времена,18
деление,18
22,18
второго,18
возрасте,18
300,18
первое,18
россия,18
самых,18
основных,18
зрения,18
относятся,18
университете,18
заслуженный,17
рядом,17
реке,17
киргизского,17
страны,17
влияние,17
своему,17
спорта,17
кино,17
вышла,17
сериала,17
"сибири,",17
существует,17
современных,17
замуж,17
названием,17
пути,17
"области,",17
"племён,",17
29,17
работала,17
исследователи,17
вид,17
другим,17
поэтому,17
(род.,17
западе,17
известен,17
брата,17
уйгурский,17
источники,17
50,17
бильге,17
сезен,17
орду,17
великого,17
чел.;,17
используется,17
"частности,",17
тюркские,17
своим,17
национальный,17
г,17
"тем,",17
таким,17
занял,17
года),17
всей,17
великой,17
совета,16
русские,16
1997,16
стамбул),16
столицей,16
представители,16
хазар,16
татар,16
европейских,16
института,16
