word,frequency
уонна,1981
—,1333
диэн,1156
сыллаахха,916
ол,792
кини,412
бу,380
кытта,351
сыл,346
аан,312
күнүгэр,262
с.,249
түүр,239
да,229
биир,224
былыргы,218
улахан,201
и,194
баар,191
бастакы,191
ону,185
дойду,184
икки,184
тыла,182
кэннэ,181
хаан,178
эмиэ,173
ордуу,173
баран,172
этэ.,172
диэри,171
ыйын,169
буолбута.,168
-,159
куорат,153
куоракка,152
сигэлэр,151
алтан,150
кинилэр,149
саамай,146
туһунан,145
аата,144
киинэ,143
эбэтэр,138
в,135
суох,132
эрээри,132
ааттаах,128
киһи,128
тылын,127
кытай,125
үйэ,125
буолар.,122
буолан,122
1,121
утары,120
аҕа,120
--,118
атын,116
онтон,115
онно,114
турция,113
таһынан,113
иккис,110
арассыыйа,110
киин,110
быһыытынан,109
кэлин,106
саҥа,105
бэлиэтээһиннэр,104
тыл,104
гынан,104
сирин,103
илиҥҥи,101
уола,101
–,100
элбэх,100
тыллаах,99
курдук,99
олорор,97
хаҕан,97
биллэр,97
%,96
орто,95
кэмҥэ,94
үйэҕэ,94
хас,91
сүрүн,91
кэмигэр,91
кэнниттэн,91
эрэ,90
турок,90
билиҥҥи,87
а.,87
араас,86
иһин,85
сорох,84
нуучча,84
бэйэтин,84
000,84
уйгуур,83
түүрдэр,83
сылларга,83
улуу,81
ити,81
диэки,80
"баран,",80
өттүгэр,79
2012,78
биис,78
сылтан,77
сиригэр,76
өрөспүүбүлүкэтин,76
моҕол,76
оттон,75
төрөөбүт,75
хотугу,74
үс,74
киинэҕэ,72
//,72
чинчийээччилэр,71
соҕуруу,70
км2,68
2011,68
иһигэр,68
илин,68
тылыгар,68
м.,68
бастаан,68
в.,67
көр,67
ноҕай,67
эбии,66
алтаай,66
судаарыстыбаннай,66
дьон,65
сылга,64
енисей,64
бэйэлэрин,64
өссө,64
өрүс,64
арҕаа,64
омук,63
биллиилээх,63
сибиир,62
тыллара,62
кинини,61
ордук,61
баар.,61
даҕаны,61
тус,60
от,60
2,59
манаас,59
аат,59
кыргыс,58
олоҕо,58
н.,58
3,57
буолбут,57
уйгуурдар,57
сиргэ,57
күн,57
и.,57
бэс,56
омуктар,56
билигин,56
сыллааҕы,56
г.,55
сэрии,55
этилэр.,55
2013,54
4,54
атырдьах,54
сир,54
түмүгэр,53
төрүттээх,53
тылынан,52
биографията,52
стамбул,52
о,52
ылбыта.,51
кинигэлэр,51
кыра,51
сирэ,51
аатынан,51
туспа,51
олимпиада,51
ыытыллыбыт,50
бииргэ,50
олорбут,50
ыам,50
дьиэ,49
литэрэтиирэ,49
на,49
2010,49
сэриилээн,48
хакас,48
хоту,48
көмүс,48
узбек,47
куоратыгар,47
сэриинэн,47
өрө,47
тохтамыш,47
2014,46
бас,46
бииһин,46
тылларын,46
.,46
ахсааннара,45
сылдьан,45
тутар,45
турар,45
с,45
сэтинньи,45
10,44
хаҕаната,44
2016,44
сөп.,44
үһүс,44
көһөн,44
буолаллар.,43
дойдуга,43
буолбут.,43
артыыс,43
хазардар,43
бэйэтэ,43
",",42
баһылыга,42
кыыс,42
кулун,42
сотору,42
хаҕанатын,42
сэбиэскэй,42
өлбүтүн,42
азия,41
ууһун,41
үйэлэргэ,40
империятын,40
оҕус,40
олороллор.,40
этэринэн,40
аҕата,40
киирэр,40
уустара,40
ахсынньы,40
бөлөх,40
арҕааҥы,40
олохтоох,40
/,39
арааб,39
хазар,39
тыллар,39
түөрт,39
2002,39
ибн,39
20,39
2015,39
буолуон,39
күөх,38
чөмпүйэнээтигэр,38
сылдьыбыт,38
бары,38
ислам,38
балаҕан,38
2009,38
хуннар,37
i,37
15,37
оонньообута.,37
устата,37
олунньу,37
европа,37
хайа,37
саҕалаан,37
8,37
куораты,37
төрүт,37
оҕо,36
сарыг,36
2008,36
осман,36
т.,36
тимир,36
аатын,36
маннык,36
устар,36
бастыҥ,36
күнэ,36
сэриитин,36
буолар,36
эдэр,36
5,36
турцияҕа,35
12,35
2005,35
омугун,35
"этэ,",35
к,35
муус,35
көҥүл,35
маҥнай,35
кубрат,35
