src_text,tgt_text,src_word_len,tgt_word_len,src_char_len,tgt_char_len,word_ratio,char_ratio
"Сычуань — 19 февраля 1997, Пекин) — кытай бэлиитигэ уонна реформатора, Кытай Хомуньуус Баартыйатын диэйэтэлэ.","Сычуань — 19 февраля 1997, Пекин) — китайский политик и реформатор, деятель Коммунистической партии Китая.",15,15,109,106,1.0,0.9724770642201835
"Дэн хаһан даҕаны дойдуну салайар дуоһунаска олорботоҕо, ол эрээри 1970 сылтан 1990 сылга дылы Кытай дьиҥнээх салайааччыта этэ.","Дэн никогда не занимал пост руководителя страны, но был фактическим руководителем Китая с конца 1970-х до начала 1990-х гг.",18,19,126,123,1.0555555555555556,0.9761904761904762
Дэн Сяопин Францияҕа үөрэнэ сылдьар кэмэ,Дэн Сяопин во время учёбы во Франции,6,7,40,36,1.1666666666666667,0.9
Компаниа таҥара дьиэтэ,Церковь Компаниа,3,2,22,16,0.6666666666666666,0.7272727272727273
"Ку́ско (исп. Cuzco, кечуа Qusqu, Qosqo) — Перу соҕуруулуу-арҕаа өттүгэр баар куорат, Куско регионун административнай киинэ уонна итинник аатта провинция.","Ку́ско (исп. Cuzco, кечуа Qusqu, Qosqo) — город на юго-западе Перу, административный центр региона Куско и одноимённой провинции.",20,18,153,129,0.9,0.8431372549019608
"Олорор дьонун ахсаана — 319,4 тыс. киһи (2002).","Население — 319,4 тыс. человек (2002).",8,6,47,38,0.75,0.8085106382978723
Уайна-Пикчу хайа уонна Мачу-Пикчу руина боруҥуй быыһыгар көстүүтэ,Вид на гору Уайна-Пикчу и руины Мачу-Пикчу в сумерках,8,9,65,53,1.125,0.8153846153846154
"Викто́р Мари́ Гюго́[4] (фр. Victor Marie Hugo [viktɔʁ maʁi yˈɡo]; 1802 олунньу 26 күнэ, Безансон — 1885 ыам ыйын 22 күнэ, Париж) — Франция суруйааччыта (поэт, прозаик уонна драматург), француз романтизмын сүрүннээччитэ уонна теоретига.","Викто́р Мари́ Гюго́[4] (фр. Victor Marie Hugo [viktɔʁ maʁi yˈɡo]; 26 февраля 1802, Безансон — 22 мая 1885, Париж) — французский писатель (поэт, прозаик и драматург), глава и теоретик французского романтизма.",34,31,235,207,0.9117647058823529,0.8808510638297873
Француз академиятын (1841) чилиэнэ.,Член Французской академии (1841).,4,4,35,33,1.0,0.9428571428571428
Виктор Гюго эдэр сылдьан,Виктор Гюго в молодости,4,4,24,23,1.0,0.9583333333333334
