source,target,src_word_len,tgt_word_len,src_char_len,tgt_char_len,char_ratio,word_ratio,dataset
Олохпор биирдэ үчүгэйи оҥоробун... Туһата суох.,один раз в жизни я делаю хорошее дело... и оно бесполезно.,6,13,47,58,1.2340425531914894,2.1666666666666665,tatoeba
"Чэ, тугу эрэ гыныахха!",давайте что-нибудь попробуем!,4,4,22,29,1.3181818181818181,1.0,tatoeba
Утуйарым уолдьаста.,мне пора идти спать.,2,5,19,20,1.0526315789473684,2.5,tatoeba
Тугу гынаҕыный?,что ты делаешь?,2,4,15,15,1.0,2.0,tatoeba
Бу тугуй?,что это?,2,3,9,8,0.8888888888888888,1.5,tatoeba
"Бүгүн бэс ыйын 18 күнэ, Мүүрүйэл төрөөбүт күнэ","сегодня 18 июня, и это день рождения мюриэл!",8,10,46,44,0.9565217391304348,1.25,tatoeba
"Төрөөбүт күҥҥүнэн, Мүүрүйэл!","с днём рождения, мюриэл!",3,6,28,24,0.8571428571428571,2.0,tatoeba
Мүүрүйэл 20 саастаах.,мюриэл сейчас 20.,3,4,21,17,0.8095238095238095,1.3333333333333333,tatoeba
"Киирии тыл ""Мүүрүйэл"".",пароль «muiriel».,3,5,22,17,0.7727272727272727,1.6666666666666667,tatoeba
Тугу да этэрим суох.,у меня no слов.,4,5,20,15,0.75,1.25,tatoeba
Этэрим суох.,у меня no слов.,2,5,12,15,1.25,2.5,tatoeba
Туох диирбин билбэппин.,"не знаю, что и сказать.",3,7,23,23,1.0,2.3333333333333335,tatoeba
Ол сидьиҥ куобах этэ.,это был злой кролик.,4,5,21,20,0.9523809523809523,1.25,tatoeba
Бу саҥа хаартыска дуо?,это новая фотография?,4,4,22,21,0.9545454545454546,1.0,tatoeba
Иллэҥ буоларбын билбэтим.,"я не знаю, будет ли у меня время.",3,10,25,33,1.32,3.3333333333333335,tatoeba
Онуоха дылы микрофон тоҕо эрэ үлэлээбэт этэ.,микрофон по какой-то причине до этого не работал.,7,9,44,49,1.1136363636363635,1.2857142857142858,tatoeba
Аныаха дылы микрофон тоҕо эрэ үлэлээбэт этэ.,микрофон по какой-то причине до этого не работал.,7,9,44,49,1.1136363636363635,1.2857142857142858,tatoeba
"Ким баҕарар, тиһэҕэр, бэйэтэ үөрэниэхтээх.","каждый, в итоге, должен учиться сам.",5,9,42,36,0.8571428571428571,1.8,tatoeba
Бу санаабын эппит тиһэх киһим миигин иирээки диэбитэ.,"последний человек, которому я рассказал свою идею, решил, что я сумасшедший.",8,15,53,76,1.4339622641509433,1.875,tatoeba
Миигин тоҕо акаары курдук көрөллөрүн дьэ быһаарбыккар махтанабын.,"thank you за то, что наконец объяснили, почему люди принимают меня за идиота.",8,16,65,77,1.1846153846153846,2.0,tatoeba
Быһаарыыҥ иһин махтал.,thank you за объяснение.,3,5,22,24,1.0909090909090908,1.6666666666666667,tatoeba
Туох буолла?,что случилось?,2,3,12,14,1.1666666666666667,1.5,tatoeba
Хаар түһэр.,идёт снег.,2,3,11,10,0.9090909090909091,1.5,tatoeba
