source,target,src_word_len,tgt_word_len,src_char_len,tgt_char_len,char_ratio,word_ratio
Олохпор биирдэ үчүгэйи оҥоробун... Туһата суох.,один раз в жизни я делаю хорошее дело... и оно бесполезно.,6,13,47,58,1.2340425531914894,2.1666666666666665
"Чэ, тугу эрэ гыныахха!",давайте что-нибудь попробуем!,4,4,22,29,1.3181818181818181,1.0
Утуйарым уолдьаста.,мне пора идти спать.,2,5,19,20,1.0526315789473684,2.5
Тугу гынаҕыный?,что ты делаешь?,2,4,15,15,1.0,2.0
Бу тугуй?,что это?,2,3,9,8,0.8888888888888888,1.5
"Бүгүн бэс ыйын 18 күнэ, Мүүрүйэл төрөөбүт күнэ","сегодня 18 июня, и это день рождения мюриэл!",8,10,46,44,0.9565217391304348,1.25
"Төрөөбүт күҥҥүнэн, Мүүрүйэл!","с днём рождения, мюриэл!",3,6,28,24,0.8571428571428571,2.0
Мүүрүйэл 20 саастаах.,мюриэл сейчас 20.,3,4,21,17,0.8095238095238095,1.3333333333333333
"Киирии тыл ""Мүүрүйэл"".",пароль «muiriel».,3,5,22,17,0.7727272727272727,1.6666666666666667
Тугу да этэрим суох.,у меня no слов.,4,5,20,15,0.75,1.25
Этэрим суох.,у меня no слов.,2,5,12,15,1.25,2.5
Туох диирбин билбэппин.,"не знаю, что и сказать.",3,7,23,23,1.0,2.3333333333333335
Ол сидьиҥ куобах этэ.,это был злой кролик.,4,5,21,20,0.9523809523809523,1.25
Бу саҥа хаартыска дуо?,это новая фотография?,4,4,22,21,0.9545454545454546,1.0
Иллэҥ буоларбын билбэтим.,"я не знаю, будет ли у меня время.",3,10,25,33,1.32,3.3333333333333335
Онуоха дылы микрофон тоҕо эрэ үлэлээбэт этэ.,микрофон по какой-то причине до этого не работал.,7,9,44,49,1.1136363636363635,1.2857142857142858
Аныаха дылы микрофон тоҕо эрэ үлэлээбэт этэ.,микрофон по какой-то причине до этого не работал.,7,9,44,49,1.1136363636363635,1.2857142857142858
"Ким баҕарар, тиһэҕэр, бэйэтэ үөрэниэхтээх.","каждый, в итоге, должен учиться сам.",5,9,42,36,0.8571428571428571,1.8
Бу санаабын эппит тиһэх киһим миигин иирээки диэбитэ.,"последний человек, которому я рассказал свою идею, решил, что я сумасшедший.",8,15,53,76,1.4339622641509433,1.875
Миигин тоҕо акаары курдук көрөллөрүн дьэ быһаарбыккар махтанабын.,"thank you за то, что наконец объяснили, почему люди принимают меня за идиота.",8,16,65,77,1.1846153846153846,2.0
Быһаарыыҥ иһин махтал.,thank you за объяснение.,3,5,22,24,1.0909090909090908,1.6666666666666667
Туох буолла?,что случилось?,2,3,12,14,1.1666666666666667,1.5
Хаар түһэр.,идёт снег.,2,3,11,10,0.9090909090909091,1.5
Биһиэхэ тохсунньуга хаар түһэр.,у нас в январе идёт снег.,4,7,31,25,0.8064516129032258,1.75
Ыт куосканы эккирэппитэ.,собака гналась за кошкой.,3,5,24,25,1.0416666666666667,1.6666666666666667
"Кэллэҕинэ этээриҥ эрэ, миигин кэтэстин.","если он придёт, скажите, чтобы подождал меня.",5,10,39,45,1.1538461538461537,2.0
Аатыҥ кимий?,как тебя зовут?,2,4,12,15,1.25,2.0
Махтал!,thank you,1,2,7,9,1.2857142857142858,2.0
Кэлиэ диэн эрэллээх.,"он уверен, что придёт.",3,6,20,22,1.1,2.0
Кэлиэм диэн эрэллээх.,"он уверен, что придёт.",3,6,21,22,1.0476190476190477,2.0
Манна сайынын ардах элбэхтэ түһэр.,летом здесь часто идёт дождь.,5,6,34,29,0.8529411764705882,1.2
Суолу туоруохха эрэ.,давай перейдём через дорогу.,3,5,20,28,1.4,1.6666666666666667
Мин маны утарабын.,я против этой идеи.,3,5,18,19,1.0555555555555556,1.6666666666666667
Мин барыларынааҕар түргэнник сүүрэбин.,я бегаю быстрее всех.,4,5,38,21,0.5526315789473685,1.25
"Эн этэргин өйдүүбүн да буоллар, сөбүлэһэр кыаҕым суох.","хотя я понимаю то, что вы говорите, я не могу с вами согласиться.",8,16,54,65,1.2037037037037037,2.0
Дьиэҕэр бараргар сэрэнээр.,будь осторожен по дороге домой.,3,6,26,31,1.1923076923076923,2.0
Ыстаансыйаҕа атаспын көрүстүм.,я встретил друга на станции.,3,6,30,28,0.9333333333333333,2.0
Бу оптуобустартан биирэ да Синдзюкуга тиийбэт.,ни один из этих автобусов не идёт в синдзюку.,6,10,46,45,0.9782608695652174,1.6666666666666667
Кини хайаан да кэлиэ.,он обязательно придёт.,4,4,21,22,1.0476190476190477,1.0
Суол өрүһү кыйа барар.,дорога идёт параллельно реке.,4,5,22,29,1.3181818181818181,1.25
Дохсун ардах түһэр.,идёт сильный дождь.,3,4,19,19,1.0,1.3333333333333333
"Суох, махтал.",no thank you,2,3,13,12,0.9230769230769231,1.5
"""Уруучукалааххын дуо?"" - ""Аһаа, баар"".","«у тебя есть ручка?» — «да, есть».",5,14,38,34,0.8947368421052632,2.8
Улахан махтал!,большое thank you,2,3,14,17,1.2142857142857142,1.5
Эрдэттэн махтал.,заранее thank you,2,3,16,17,1.0625,1.5
Тыала суохха мас хамсаабат.,no дыма без огня.,4,5,27,17,0.6296296296296297,1.25
"Сөп, өйдүүбүн. Улахан махтал.",yes я понимаю. большое thank you,4,7,29,32,1.103448275862069,1.75
"Ээ, ынаҕы маннык ыыллар эбит дии?","а, так вот как доят корову?",6,8,33,27,0.8181818181818182,1.3333333333333333
Көмөҥ иһин улахан махтал.,большое thank you за вашу помощь.,4,7,25,33,1.32,1.75
Инньэни уорбут ынаҕы да уоруо.,укравший булавку украдёт и корову.,5,6,30,34,1.1333333333333333,1.2
Суор суорун хараҕын оҥмот.,ворон ворону глаз не выклюет.,4,6,26,29,1.1153846153846154,1.5
Эҕэрдэ!,hello,1,1,7,5,0.7142857142857143,1.0
Бу оҕо оонньуута буолбатах.,это не шутка.,4,4,27,13,0.48148148148148145,1.0
"Мин куоскалааххпын уонна ыттаахпын. Куоска хара, ыт маҥан.","у меня есть кот и собака. кот чёрный, а собака белая.",8,14,58,53,0.9137931034482759,1.75
Кинини көрбөтөҕүм өр буолла.,я не видел его уже давно.,4,7,28,25,0.8928571428571429,1.75
Мин маҥан уонна хара ыттардаахпын.,у меня есть белая собака и чёрная собака.,5,9,34,41,1.2058823529411764,1.8
Ынах биһиэхэ үүтү биэрэр.,коровы дают нам молоко.,4,5,25,23,0.92,1.25
Илин атаххыт ибирэ суох буоллун!,счастливого пути!,5,3,32,17,0.53125,0.6
Ынах - туһалаах харамай.,корова - полезное животное.,4,5,24,27,1.125,1.25
Ынахтан үүт кэлэр.,коровы дают молоко.,3,4,18,19,1.0555555555555556,1.3333333333333333
"Мин убайдаахпын, ону тэҥэ эдьиийдээхпин.","у меня есть старший брат, а также есть старшая сестра.",5,12,40,54,1.35,2.4
Мин убайдаахпын уонна эдьиийдээхпин.,"у меня есть старший брат, а также есть старшая сестра.",4,12,36,54,1.5,3.0
Көҕөрбүтүн көрүмэ — үүнээйитэ билиэҕэ.,цыплят по осени считают.,5,5,38,24,0.631578947368421,1.0
Арыы ынах үүтүттэн оҥоһуллар.,масло делается из коровьего молока.,4,6,29,35,1.206896551724138,1.5
Сымыыты оҕуска атастаһыаҥ этэ дуо?,а вы станете яйцо на быка менять?,5,8,34,33,0.9705882352941176,1.6
Хап-хара да ынах үүтэ үрүҥ буолар.,даже у самой чёрной коровы молоко белое.,6,8,34,40,1.1764705882352942,1.3333333333333333
"Борооску барбыта, оҕус кэллэ.","ушёл телёнок, вернулся бык.",4,6,29,27,0.9310344827586207,1.5
"Тарбыйаҕынан барбыта, оҕуһунан кэллэ.","ушёл телёнок, вернулся бык.",4,6,37,27,0.7297297297297297,1.5
Аттаах сатыыны кытта аргыстаспат.,пеший конному не товарищ.,4,5,33,25,0.7575757575757576,1.25
Истигэн сымыыт айаас оҕустааҕар ордук.,"лучше послушное яйцо, чем непослушный бык.",5,8,38,42,1.105263157894737,1.6
Албыннаабакка сатаан атыылыаҥ суоҕа.,не обманешь — не продашь.,4,6,36,25,0.6944444444444444,1.5
"Идэлээҕи кытта олоруоҥ — идэлээх буолуоҥ, түөкүнү кытта олоруоҥ — түөкүн буолуоҥ.","с кем поведёшься, от того и наберёшься.",12,9,81,39,0.48148148148148145,0.75
Киэр дьүгэлий!,вон отсюда!,2,3,14,11,0.7857142857142857,1.5
Оҕуһу ханна илдьэллэрий?,куда ведут быка?,3,4,24,16,0.6666666666666666,1.3333333333333333
Уу харахпынан көрбүтүм.,я видел это собственными глазами.,3,6,23,33,1.434782608695652,2.0
Соҕотох кууруссаны көрөбүн. Кини атахтаах уонна кынаттаах.,я вижу одну курицу. у неё есть ноги и есть крылья.,7,13,58,50,0.8620689655172413,1.8571428571428572
"Киһи биир төбөлөөх, икки атахтаах.",у человека одна голова и две ноги.,5,8,34,34,1.0,1.6
Харахтаах көрөр; кулгаахтах истэр.,"имеющий глаза yes увидит, имеющий уши yes услышит.",4,10,34,50,1.4705882352941178,2.5
Сырдык баар сиригэр күлүк баар.,"где есть свет, там есть и тень.",5,9,31,31,1.0,1.8
Мин бүгүн дьиэҕэ өрөөтүм.,сегодня я дома отдыхаю.,4,5,25,23,0.92,1.25
Отонноотоххо оҥоойук туолар.,с миру по нитке - голому рубаха.,3,8,28,32,1.1428571428571428,2.6666666666666665
Бытааннык аһаатахха кыраны аһыахха сөп дииллэр.,"говорят, что есть медленнее — это способ есть меньше.",6,11,47,53,1.127659574468085,1.8333333333333333
Махтал!,thank you,1,2,7,9,1.2857142857142858,2.0
Бу быдан ордук.,это гораздо лучше.,3,4,15,18,1.2,1.3333333333333333
Бурдж-Халифа билигин аан дойдуга саамай үрдүк небоскреб.,бурдж-халифа является в настоящее время самым высоким небоскребом в мире.,7,11,56,73,1.3035714285714286,1.5714285714285714
Аах-маах тыллаһар.,он говорит бестолково.,2,4,18,22,1.2222222222222223,2.0
Ким да ынчыгын истэр кыаҕым суох.,не могу слышать чьих-либо стонов.,6,6,33,33,1.0,1.0
Уотунан оонньоомо.,не играй с огнём.,2,5,18,17,0.9444444444444444,2.5
Маны туох диэн ааттыыллар?,как это называется?,4,4,26,19,0.7307692307692307,1.0
Өөҥөтөр бүгүн кэлээрэй.,"возможно, он сегодня придёт.",3,6,23,28,1.2173913043478262,2.0
Үтүө биэттэн абааһы кулун төрөөбүтүгэр дылы.,в семье не без урода.,6,6,44,21,0.4772727272727273,1.0
Доҕордуу буолуох.,будем друзьями.,2,3,17,15,0.8823529411764706,1.5
Сирэйэ кубарыйбыт.,его лицо побледнело.,2,4,18,20,1.1111111111111112,2.0
"""Суоҕу"" суоруоҥ дуо?",на no и суда no,3,5,20,15,0.75,1.6666666666666667
Сүрэҕим тыытта.,у меня защемило сердце.,2,5,15,23,1.5333333333333334,2.5
"Таҕыл диэн баар, имэҥ диэн баар, таптал диэн баар.","есть страсть, есть влюбленность, есть любовь.",9,9,50,45,0.9,1.0
Бааһырбыт киһи ынчыгын истибиппит.,мы слышали стоны раненого человека.,4,6,34,35,1.0294117647058822,1.5
Сорохтор ыттарын күҥҥэ биирдэ эрэ аһаталлар.,многие владельцы собак кормят своих собак лишь раз в день.,6,11,44,58,1.3181818181818181,1.8333333333333333
