word,frequency
не,204
он,151
и,99
в,88
я,76
у,58
это,53
с,50
что,50
на,47
том,35
его,35
меня,34
ты,32
от,30
есть,30
как,29
они,27
а,23
же,22
человек,21
всё,21
мы,21
ещё,20
него,20
за,20
no,19
из,19
по,19
мне,18
только,16
очень,15
много,15
так,15
до,13
ну,13
будет,13
собака,13
этом,12
без,12
этого,12
you,11
к,11
здесь,11
бывает,11
придёт,11
сегодня,11
то,11
thank,11
даже,10
свою,10
ни,10
yes,9
человека,9
бы,9
идёт,8
для,8
себе,8
свои,8
где,8
своего,8
ничего,8
если,8
день,8
хорошо,8
равно,8
вы,8
ему,8
друг,8
свой,7
надо,7
совсем,7
вот,7
дело,7
мой,7
тебя,7
кто,7
под,7
того,7
там,7
время,7
лошадь,7
вода,7
одного,7
но,7
разве,7
становится,7
будто,6
все,6
нам,6
дождь,6
значит,6
собаки,6
она,6
был,6
их,6
чтобы,6
сделал,6
чем,6
раз,6
большое,6
её,6
о,6
себя,6
весь,6
снег,6
нас,6
или,5
нужно,5
тот,5
лучше,5
работает,5
быка,5
вокруг,5
уже,5
эта,5
тебе,5
скот,5
болезнь,5
слишком,5
какая,5
имеет,5
дети,5
году,5
одно,5
язык,5
деньги,5
мария,5
трус,4
работа,4
гнев,4
неё,4
добрый,4
два,4
слова,4
имя,4
совершенно,4
такой,4
тут,4
ветра,4
никто,4
конь,4
всего,4
большой,4
говорят,4
сказал,4
стал,4
со,4
боится,4
во,4
ест,4
всегда,4
дома,4
ноги,4
мать,4
ног,4
одна,4
старик,4
знает,4
больше,4
было,4
один,4
заяц,4
ребёнок,4
работали,4
нож,4
идти,4
пальто,4
друга,4
часто,4
большим,4
должен,4
хороший,4
этой,4
знаю,4
пусть,4
оказывается,4
ли,4
слов,4
разные,4
мир,3
воды,3
стоит,3
книги,3
лишь,3
будь,3
комнаты,3
страна,3
которые,3
ребёнка,3
стали,3
текут,3
сразу,3
могу,3
сердце,3
мясо,3
вместе,3
этим,3
называется,3
вид,3
этих,3
водой,3
ними,3
детям,3
пользы,3
следы,3
рукавицы,3
узнал,3
городе,3
такого,3
однако,3
летом,3
хочется,3
уверен,3
зря,3
работу,3
пришёл,3
мало,3
рыба,3
выступил,3
страха,3
когда,3
мои,3
ночью,3
хвост,3
места,3
этот,3
озеро,3
час,3
трудом,3
тома,3
якутии,3
кровь,3
