word,frequency
да,37
том,37
кини,32
бу,31
киһи,29
мин,21
—,20
ол,19
суох,18
курдук,18
биир,18
суох.,16
диэн,15
дуо?,15
эрэ,14
кинини,13
кытта,13
буолла.,13
дылы.,13
туох,12
уу,12
ким,11
ити,11
манна,11
ыт,11
баар,11
күн,10
икки,10
барыта,10
аҕай,10
бүгүн,10
үтүө,9
эн,9
үчүгэй,9
тугу,9
дьэ,9
биһиги,8
аата,8
миигин,8
элбэх,8
аны,8
баара,8
суоҕа.,8
буолар.,7
хара,7
уонна,7
маны,7
махтал.,7
үһү.,7
миэхэ,7
күөл,7
оннук,7
хараҕын,7
киһи.,7
этэ.,7
оҕолор,7
сир,7
доҕор!,7
курдук.,7
ат,6
хайа,6
суолун,6
оҕо,6
аанньа,6
улахан,6
эмиэ,6
онно,6
куобах,6
ынах,6
атах,6
киһини,6
илин,6
ону,6
уута,6
өҕүллүбэт.,6
олус,6
наһаа,5
ыарыһах,5
мантан,5
сирэ,5
"суох,",5
олоруоҥ,5
күнү,5
кинигэ,5
тахсар.,5
буолбат.,5
иһин,5
биэрбэт.,5
суохха,5
тыл,5
оннооҕор,5
баран,5
хайдах,5
аҥара,5
тоҕо,5
биирдэ,5
баһа,5
быйыл,5
түспүт.,5
мария,5
бөҕөнү,5
тыал,5
итини,5
буолуо.,5
үлэ,5
түһэр.,5
идэлээх,4
ааттаах.,4
мас,4
халлаан,4
куоракка,4
кур,4
ханна,4
кэбистэ.,4
уол,4
хаан,4
олоробун.,4
быһа,4
баар.,4
тула,4
тириитин,4
кутуругун,4
өссө,4
аатын,4
дылы,4
киһитигэр,4
саҥа,4
кураанах,4
от,4
бэйэм,4
бөҕө,4
хос,4
хаптаҕай,4
"аата,",4
эбэтэр,4
оттон,4
"да,",4
буол.,4
куоска,4
таҕыста.,4
сылдьар.,4
сон,4
дьиэҕэ,4
биллибэт.,4
ардах,4
аан,4
тылым,4
дойдуга,4
кэлиэ,4
букатын,4
биһиэхэ,4
хаар,4
өһүллүбүт.,4
ордук.,3
быара,3
үүтэ,3
унньу-санньы,3
итинник,3
сатаан,3
үйэтигэр,3
унаарыйар.,3
оҕус,3
баай,3
сыалыһар,3
кэлин,3
идэлээҕи,3
атым,3
кутталламмыт.,3
абааһы,3
дьон,3
билбэт,3
уутугар,3
аҥаарыйбыт.,3
кутуйах,3
эрэй,3
сытар.,3
итинэн,3
гынна.,3
үтүлүктэрим,3
аҥы-аҥылар.,3
уон,3
таҕыстылар.,3
көхтөөхтүк,3
сүрэҕэ,3
отонноотоххо,3
буолуоҥ.,3
оҕонньор,3
кэлбит,3
буолуо,3
үтүөрдэ.,3
харахтаах,3
оҥоойук,3
тосту,3
туолар.,3
"оок-сиэ,",3
үтүөлээх,3
сиппэт.,3
уһун,3
саха,3
ээ.,3
араас,3
өйө,3
куораты,3
маска,3
аатыҥ,3
кимий?,3
махтал!,3
үөһүм,3
быстыа,3
буоллар.,3
аҕа,3
барда.,3
түргэнник,3
үгэлээх.,3
үс,3
сүөһү,3
дьүгээр,3
иккитэ,3
ааһар.,3
тиийбэт.,3
бэрт,3
үчүгэйдик,3
диэки,3
тыаһын,3
-,3
эппит,3
билгэйбит.,3
"чэ,",3
көрөн,3
ааспыт.,3
сиэбит.,3
үөннээн,3
мастан,3
үөл,3
үлэлээтибит.,3
аатыттан,3
эһэ,3
аҕайдык,3
сылдьар,3
өрө,3
кыраабытын,3
үлэлээбэт,3
кырыыстаах,3
бэйэтэ,3
кэриэтэ.,3
күндү.,3
"буоллаҕына,",3
аалын,3
ааннарын,3
нэтээгинэн,3
балык,3
буолбатах.,3
баараа.,3
баарай.,3
бүөлээбиккэ,3
"баара,",3
харчы,3
кутталыттан,3
дөбөҥ.,3
үһүө.,3
күннүктээн,3
ынаҕы,3
саппат,3
өйдүүбүн.,3
аппын,3
турбат.,3
буоллун!,3
түстэ.,3
мал,3
хоҥнон,3
таҥара,3
куттас,2
барыам,2
бачча,2
буолбат,2
кута,2
тухары,2
буолбатын!,2
оҥойон,2
