word,frequency
the,1646
of,1061
in,605
and,388
a,240
to,207
at,136
was,136
is,121
he,120
with,102
on,86
world,82
championship,71
from,65
by,59
for,59
games,56
olympic,55
she,55
won,52
place,52
russian,50
which,49
champion,48
first,47
as,45
team,43
city,41
language,40
republic,39
sports,37
that,36
cup,36
became,35
population,35
were,35
part,34
are,33
took,33
his,32
her,32
russia,32
after,32
it,32
links,31
european,31
state,30
notes,30
born,29
also,28
this,28
name,27
london,27
final,26
only,26
they,25
national,25
turkish,25
de,24
most,24
people,24
career,23
who,23
since,23
territory,23
wrestling,22
new,21
school,21
other,19
into,19
ussr,19
medalist,19
up,19
century,19
village,19
according,19
two,18
silver,18
there,18
about,18
july,18
group,17
located,17
not,17
one,17
during,17
an,17
among,17
olympics,16
but,16
result,16
europe,16
medal,16
built,16
athlete,16
years,15
three,15
held,15
ankara,15
english,15
gold,15
summer,15
competitions,15
has,15
faculty,15
more,15
turkey,15
serbian,15
june,14
all,14
bronze,14
date,14
february,14
datsan,14
brazil,14
same,14
tournament,14
center,14
time,14
capital,14
meters,14
stadium,14
free,14
youth,14
personal,14
year,14
life,13
biography,13
may,13
international,13
began,13
or,13
istanbul,13
birth,13
main,13
category,13
great,13
central,13
fortress,13
transcription,13
lost,13
member,12
south,12
partially,12
awards,12
railway,12
north,12
order,12
round,12
ivolginsky,12
united,12
temple,12
french,12
official,12
university,12
asia,12
having,11
end,11
east,11
grand,11
country,11
district,11
ancient,11
region,11
under,11
area,11
rio,11
freestyle,11
prix,10
honored,10
culture,10
buddhist,10
bosnia,10
afifa,10
record,10
million,10
persian,10
second,10
moscow,10
km,10
federation,10
death,10
arabic,10
march,10
government,10
well,10
their,10
history,10
coach,10
third,10
countries,10
had,10
ataturk,10
military,10
mamiashvili,9
native,9
flag,9
where,9
construction,9
head,9
fighter,9
score,9
sabiha,9
april,9
herzegovina,9
modern,9
version,9
august,9
when,9
payvi,9
states,9
van,9
moved,9
administrative,9
daughter,9
prize,9
winner,9
right,9
together,9
water,9
arena,9
number,9
high,9
married,8
park,8
physical,8
bolt,8
november,8
then,8
smaller,8
pronunciation,8
border,8
four,8
received,8
information,8
medals,8
athletes,8
spain,8
its,8
out,8
played,8
big,8
writing,8
party,8
s,8
languages,8
vladimir,8
kingdom,8
book,8
set,8
sciences,8
dari,8
old,8
river,8
than,8
janeiro,8
britain,7
recognized,7
kg,7
stage,7
various,7
named,7
thousand,7
between,7
family,7
ivan,7
i,7
monastery,7
ethnic,7
burebists,7
serbs,7
minister,7
lagari,7
juniors,7
records,7
made,7
marathon,7
many,7
however,7
paris,7
opening,7
west,7
women,7
ferdinand,7
against,7
points,7
yarygin,7
vowels,7
called,7
worked,7
france,7
athletics,7
church,7
january,7
such,7
later,7
chinese,7
reign,7
gods,7
department,7
ivolginsk,7
tcdd,7
general,7
us,7
eight,7
december,7
linguistics,7
master,7
president,7
story,7
can,7
be,7
left,7
created,6
managed,6
war,6
lesun,6
ii,6
sources,6
settlement,6
october,6
square,6
open,6
father,6
used,6
office,6
words,6
mediterranean,6
roman,6
borders,6
although,6
written,6
singapore,6
tribes,6
soviet,6
olympiad,6
b,6
ottoman,6
northern,6
text,6
club,6
british,6
mountains,6
some,6
inscription,6
students,6
met,6
currency,6
itigelov,6
including,6
children,6
did,6
several,6
mountain,6
matches,6
province,6
peoples,6
buryat,6
eastern,6
brother,6
race,6
committee,6
education,6
beginning,6
sound,6
georgia,6
usain,6
junior,5
cities,5
writer,5
swimming,5
autonomous,5
flight,5
cheleby,5
soyots,5
actress,5
theater,5
ivolga,5
early,5
match,5
absolute,5
ulus,5
help,5
tony,5
trains,5
atp,5
home,5
tournaments,5
valley,5
rocket,5
hittite,5
tennis,5
development,5
currently,5
have,5
largest,5
parts,5
see,5
along,5
best,5
reached,5
room,5
sumy,5
paired,5
based,5
wife,5
semifinals,5
son,5
lower,5
degree,5
half,5
struggle,5
taken,5
famous,5
these,5
tajik,5
came,5
american,5
small,5
lake,5
prime,5
beach,5
times,5
work,5
age,5
lives,5
valencia,5
known,5
form,5
pakistan,5
nations,5
died,5
word,5
m,5
socialist,5
prizes,5
championships,5
september,5
belarus,5
graduated,5
running,5
economics,5
sea,5
kopakaban,5
academy,5
vasco,5
da,5
gama,5
could,5
play,5
arts,5
length,5
armenian,5
both,5
rs,5
here,5
alphabet,5
published,5
professional,5
short,5
achievements,5
rupe,5
английский,5
palace,5
asian,5
considered,5
türkiye,4
madrid,4
afghanistan,4
king,4
competition,4
woman,4
army,4
italian,4
course,4
parliament,4
timofeeva,4
fight,4
iran,4
speakers,4
again,4
will,4
role,4
buryatia,4
speech,4
africa,4
defeat,4
different,4
modosyan,4
show,4
almost,4
middle,4
quarterfinals,4
distances,4
sultan,4
buildings,4
sounds,4
been,4
meeting,4
origin,4
college,4
gave,4
sorry,4
basketball,4
rating,4
e,4
muslim,4
position,4
himself,4
pilot,4
foreign,4
period,4
film,4
wrote,4
journalist,4
gokchen,4
iv,4
wins,4
often,4
live,4
dagestan,4
relay,4
style,4
results,4
student,4
rule,4
доллар,4
highest,4
organization,4
community,4
spanish,4
luan,4
large,4
significant,4
lands,4
sossyur,4
adam,4
football,4
air,4
census,4
last,4
communities,4
lectures,4
laureate,4
majority,4
western,4
green,4
mixed,4
marriage,4
occupied,4
awarded,4
until,4
winning,4
italy,4
nansen,4
croats,4
otarsultanov,4
works,4
weight,4
territories,4
included,4
talismans,4
distance,4
current,4
khinchegashvili,4
full,4
luke,4
brass,4
another,4
burebist,4
brazilian,4
historical,4
performed,4
japanese,4
nadar,4
completed,4
novgorod,4
beijing,4
title,4
code,4
cis,4
traditional,4
five,4
divided,4
honor,4
within,4
german,4
land,4
addition,4
leader,4
holy,4
gymnastics,4
arab,3
power,3
important,3
friendship,3
dollar,3
и,3
names,3
like,3
nalchik,3
we,3
korean,3
donika,3
armenia,3
jamaica,3
consonants,3
kedrin,3
labor,3
spread,3
malay,3
fought,3
means,3
literature,3
way,3
features,3
wrestler,3
child,3
body,3
george,3
strabo,3
golden,3
jamal,3
wimbledon,3
agreement,3
society,3
formed,3
minute,3
next,3
dinar,3
entrance,3
events,3
protect,3
srpska,3
behind,3
returned,3
castioti,3
wide,3
pat,3
indian,3
release,3
uses,3
close,3
standings,3
him,3
reserves,3
elected,3
completely,3
kurdish,3
older,3
six,3
tribe,3
due,3
kazakhstan,3
doctor,3
win,3
buddha,3
belarusian,3
went,3
real,3
coalition,3
deputy,3
engage,3
broke,3
entered,3
forces,3
studies,3
greenwich,3
tara,3
refugees,3
activities,3
ceremony,3
uk,3
given,3
ties,3
humanitarian,3
yamaiki,3
urban,3
bolivian,3
page,3
concert,3
hungary,3
former,3
island,3
geneva,3
list,3
fencing,3
residence,3
russians,3
azerbaijan,3
fishing,3
showed,3
holder,3
republican,3
pentathlon,3
so,3
germany,3
stadiums,3
losing,3
saussure,3
rights,3
map,3
recorded,3
division,3
differ,3
public,3
you,3
austria,3
quarter,3
husband,3
difficult,3
switzerland,3
study,3
childhood,3
sport,3
site,3
pity,3
lama,3
preliminary,3
choice,3
each,3
brankovich,3
active,3
cm,3
panmerican,3
mainly,3
india,3
back,3
while,3
dutsan,3
them,3
total,3
inscriptions,3
fatherland,3
gained,3
pre,3
xi,3
linguistic,3
erected,3
systems,3
don,3
rivers,3
victory,3
become,3
usa,3
ā,3
owns,3
perova,3
ksenia,3
merits,3
applications,3
dasha,3
hassan,3
york,3
sacred,3
philosophy,3
natural,3
alexander,3
ukraine,3
cyrillic,3
yoka,3
latin,3
over,3
boxer,3
soon,3
romans,3
transformed,3
politician,3
san,3
gara,3
ciclistica,3
accurately,3
las,3
launch,3
federal,3
railways,3
status,3
post,3
dedicated,3
china,3
nauru,3
building,3
unrecognized,3
southern,3
urine,3
rebuilt,3
wings,3
vegas,3
nationality,3
southwest,3
choynhorlin,3
thanks,3
yugoslavia,3
outside,3
house,3
account,3
khural,3
georgian,3
cyprus,3
without,3
empire,3
established,3
victor,3
before,3
sign,3
ხინჩეგაშვილი,3
bosnian,3
joseph,3
signs,3
ten,3
dugan,3
kilometers,3
groups,3
unification,3
hugo,3
no,3
economy,3
wooden,3
even,3
temples,3
mikhail,3
opened,3
series,3
companies,3
repeatedly,3
dollars,3
take,3
engaged,3
lines,3
represented,3
view,3
service,3
commonwealth,3
sister,3
female,3
albania,3
type,3
evliya,3
taiwan,3
sayan,3
combined,3
would,3
stood,2
fire,2
pounds,2
urdu,2
politics,2
journal,2
upper,2
psalm,2
ukrainian,2
officially,2
social,2
painted,2
brought,2
near,2
rocks,2
sanctuary,2
research,2
rus,2
cossacks,2
scientists,2
passive,2
circle,2
complex,2
gandbol,2
accommodation,2
laid,2
folk,2
dates,2
dmitry,2
candidates,2
spartakiad,2
ioc,2
takes,2
boxing,2
facilities,2
security,2
song,2
zone,2
stream,2
consists,2
lateral,2
vera,2
options,2
complete,2
covered,2
epic,2
wax,2
fifth,2
d,2
tamil,2
changed,2
common,2
chat,2
town,2
indonesia,2
accept,2
demons,2
bosphorus,2
teaching,2
schedule,2
fourth,2
konotop,2
combinations,2
receive,2
allowed,2
transmission,2
orthodox,2
through,2
suburban,2
testimony,2
transport,2
shares,2
cargo,2
pertile,2
swimmer,2
successful,2
ranking,2
spring,2
finnish,2
peti,2
landed,2
xvii,2
influence,2
letter,2
uganda,2
local,2
bees,2
transmit,2
leadership,2
macedonia,2
least,2
if,2
scanderbug,2
gymnast,2
bails,2
contributed,2
sergey,2
solomon,2
phonetic,2
dacia,2
passenger,2
kidneys,2
reports,2
izhevsk,2
senior,2
multiple,2
flew,2
seconds,2
materials,2
sailed,2
use,2
participants,2
officer,2
mongolian,2
legends,2
destroyers,2
gulnaz,2
participated,2
highways,2
mountinbike,2
lieutenant,2
ruler,2
sintsov,2
appeared,2
homeland,2
reasons,2
missile,2
elbow,2
egyptian,2
using,2
containers,2
headquarters,2
operator,2
distinguished,2
property,2
lat,2
urina,2
anton,2
any,2
nee,2
ideas,2
eu,2
hudley,2
uzbek,2
continued,2
amateur,2
authorities,2
customs,2
manat,2
transformation,2
owned,2
portland,2
executive,2
armed,2
sailing,2
rowing,2
successfully,2
