word,frequency
уонна,253
—,217
сыллаахха,138
аан,93
дойду,86
диэн,78
ол,71
тыла,62
км2,62
1,56
с.,55
буолбута.,54
олимпиада,48
күнүгэр,44
000,43
сыл,42
арассыыйа,41
кини,38
бастакы,36
ыйын,35
ыытыллыбыт,35
2012,34
чөмпүйэнээтигэр,34
дьобуруопа,32
да,31
көмүс,30
сыллааҕы,30
икки,30
бу,29
миэстэ,29
баран,26
--,26
эмиэ,24
бэлиэтээһиннэр,23
куорат,21
аата,21
бразилия,20
2016,20
улахан,20
олимпиадаҕа,20
киһи,20
оттон,20
төрөөбүт,19
турция,19
2014,19
кэннэ,18
суох,18
көҥүл,18
диэри,18
киинэ,18
сигэлэр,18
иккис,17
4,17
сүүмэрдэммит,17
кэлин,17
хас,17
кытары,17
үс,17
кытта,17
баар,17
тустууга,17
от,16
3,16
финал,16
тыл,16
үрүҥ,16
киин,16
азия,15
чөмпүйэнээтэ,15
-,15
бэс,15
серб,15
өрөспүүбүлүкэтин,15
оонньууларыгар,15
ссрс,15
ону,15
чөмпүйэнээтин,15
гынан,15
саамай,15
арааб,15
төгүллээх,15
элбэх,14
төрөөбүт),14
иһин,14
ыйа,14
сэргэ,14
сүрүн,14
2015,14
киирсиигэ,13
"баран,",13
2010,13
карьерата,13
сыылкалар,13
в,13
британия,13
илин,13
оонньууларын,13
тимир,13
аатынан,12
куоратыгар,12
2,12
кыра,12
2013,12
и,12
факультета,12
нуучча,12
билигин,12
үһүс,12
бөлөх,12
ахсаанынан,12
биирдиилээн,12
улуу,12
онно,12
биографията,12
ыам,12
өттүгэр,12
22,12
соҕуруу,12
хамаандатын,12
2008,12
саҥа,12
чөмпүйүөнэ,11
10,11
сайыҥҥы,11
эбилгэ,11
этэ.,11
кэмигэр,11
2011,11
0,11
туһунан,11
хамаанданан,11
атын,11
5,11
даҕаны,11
лондоннааҕы,11
былыргы,11
эрээри,11
хамаандатыгар,11
хотугу,10
дьахтар,10
олохтоохторун,10
тутар,10
кулун,10
иһигэр,10
лагари,10
14,10
үйэ,10
ахш,10
15,10
устар,10
муус,10
туурак,10
өттө,10
13,10
биир,10
түмүгэр,10
чэпчэки,10
2009,10
онтон,10
тылынан,10
күнэ,10
миэтэрэҕэ,10
олорор,10
араас,10
сүүрүүгэ,10
бүрэбиистэ,10
8,9
куоракка,9
100,9
былааҕа,9
буолар.,9
"күнэ,",9
2001,9
үтүөлээх,9
дьиэ,9
рекордун,9
франция,9
500,9
рио-де-жанейро,9
олунньу,9
баар.,9
боруонса,9
24,9
кириэппэс,9
карта,9
тахсан,9
тылын,9
20,9
сылтан,9
9,9
1950,9
успуорт,9
ататюрк,9
успуорка,9
атырдьах,9
ити,9
финалга,9
кинини,9
эрэ,9
сабиха,9
1991,8
жале,8
россия,8
афифа,8
саҕана,8
таһынан,8
ордук,8
республика,8
төрөөбүт.,8
ахсаана,8
мамиашвили,8
киилэҕэ,8
дойдулар,8
испания,8
иэнэ,8
буолбут,8
спортивнай,8
харчыта,8
"чөмпүйүөнэ,",8
2007,8
бүрээт,8
оонньуу,8
ван,8
пейви,8
аһаҕас,8
лесун,8
км,8
28,8
арҕаа,8
көһөн,8
турар,7
население,7
мэтээлин,7
сс.,7
1986,7
мэтээли,7
доллар,7
болт,7
босния,7
герцеговина,7
сыллаахтан,7
сааһыгар,7
ыйыгар,7
бастыыр,7
усэйн,7
байыаннай,7
ямайка,7
21,7
чөмпүйүөнэ.,7
200,7
өссө,7
2002,7
лондон,7
устуоруйата,7
киирэр,7
"кэлэн,",7
бастыҥ,7
17,7
ардыларынааҕы,7
көмөтүнэн,7
перс,7
бэлиэлэринэн,7
бары,7
таһыгар,7
чилиэнэ.,7
призера.,7
tcdd,7
национальнай,7
"эрээри,",7
19,7
"кэннэ,",7
800,7
информация,7
сылга,7
норуоттар,7
сылдьан,7
аатыттан,7
кэлэн,7
маннык,7
киирэр.,7
бииргэ,7
сир,7
судаарыстыбаннай,7
50,7
(англ.,6
хайа,6
•,6
онон,6
27,6
ахсынньы,6
12,6
алын,6
осман,6
владимир,6
2005,6
б.э.и.,6
үөрэх,6
суол,6
олорон,6
бэйэтэ,6
25,6
оскуола,6
ытык,6
бөҕөһө,6
сыллардаахха,6
1992,6
"киирэн,",6
1985,6
сыанаҕа,6
1983,6
де,6
оччолорго,6
7,6
буолан,6
күрэххэ,6
11,6
цогчен-дуган,6
эбэтэр,6
кастриоти,6
сиргэ,6
дойдуга,6
"кыайан,",6
судаарыстыба,6
600,6
тыһыынча,6
соҕотох,6
1994,6
харбааһыҥҥа,6
орто,6
"бастаабыта,",6
кыһыл,6
чиэппэригэр,6
кылгас,6
быһаарыылар,6
рупия,6
тириэньэрэ,6
бас,6
кыайан,6
дьон,6
тус,6
аҕыйах,5
(1:0),5
сааһыттан,5
утары,5
сылдьыбыта.,5
уопсай,5
кыыс,5
23,5
призера,5
арена,5
%,5
дьарыктанар.,5
юниордарга,5
уордьан,5
дойдутааҕы,5
судаарыстыбатын,5
күнэ),5
сиригэр,5
инньэ,5
б.э.,5
төгүллээн,5
төрүт,5
инн.,5
стадион,5
куората,5
мэтээлгэ,5
экэниэмикэ,5
18,5
ылбыт,5
тиксибитэ.,5
ойоҕо,5
сэлиэнньэ,5
i,5
1990,5
үйэҕэ,5
куораты,5
английский,5
маастара,5
(0:0),5
биллэр,5
(фр.,5
михаил,5
атлетикаҕа,5
бастаабыта.,5
"спортсмена,",5
суолларын,5
киниэхэ,5
челеби,5
миэтэрэ,5
ылан,5
кыайыылааҕа,5
xx,5
6,5
соссюр,5
маны,5
кыттыбыта.,5
быһыытынан,5
өрүс,5
аналлаах,5
чааһынан,5
на,5
оннук,5
1996,5
сорох,5
үрдүк,5
өлбүт,5
сирин,5
хасан,5
ылбыта.,5
миэстэни,5
олохтоохторо,5
өҥөлөрүн,5
турар.,5
спортсмен,5
турнирыгар,5
тахсыбыта.,5
хыраама,5
хамбо-ламаа,5
кытай,5
көр,5
физическэй,5
дацаан,5
1997,5
2004,5
копакабана,5
1998,5
италия,5
чөмпүйэнээт,5
государство,4
1999,4
салалтатынан,4
улуус,4
площадь,4
дьиэтэ,4
тиийэн,4
холбоһуктаах,4
сытар.,4
ыйааһыҥҥа,4
кэмитиэтин,4
түһүмэх,4
анал,4
de,4
ханыылыы,4
профессиональнай,4
31,4
солбук,4
бэйэтин,4
буолбута,4
чиллер,4
сербтэр,4
400,4
пятиборье,4
2003,4
бэйэ,4
куоратын,4
дьарыктанан,4
бастакытын,4
париж,4
турцияҕа,4
2006,4
тустуу,4
ойох,4
биистэрэ,4
солбуйуу,4
сэрии,4
тони,4
сойуоттар,4
кэлбитэ.,4
уол,4
тахса,4
доника,4
буолаллар.,4
айылҕа,4
сорҕото,4
iv,4
модосян,4
өрөспүүбүлүкэ,4
омук,4
барар.,4
сытар,4
балаҕан,4
территория,4
1987,4
аныгы,4
тута,4
киирэн,4
дорҕооннор,4
тутулуга,4
европаҕа.,4
грузин,4
сөп.,4
1988,4
кинилэр,4
"бөҕөһө,",4
риал,4
муҥутуур,4
"призера,",4
буолбут.,4
гран-притыгар,4
санаа,4
1945,4
!;,4
иик,4
хеттэр,4
",",4
наҕараадалара,4
оҕунан,4
тохсунньу,4
↑,4
призер,4
300,4
тыа,4
сүүрэн,4
кыттыгас,4
артыыс,4
викискладе,4
грузия,4
дорҕоон,4
успуордун,4
германия,4
стамбул,4
туспа,4
сирэ,4
кнр,4
итигэлов,4
билим,4
официальнай,4
динар,4
оройуонун,4
"кыайыылааҕа,",4
кыайбыттара.,4
күөх,4
ыччаттар,4
күнэ:,4
хос,4
бааллар.,4
сирэ:,4
иран,4
билиҥҥи,4
ыытыллар,4
рф,4
олохтооҕо,4
өрө,4
суолталаах,4
туох,4
алтынньы,4
кыыһа,4
язылыкая,4
киирсибитэ.,4
полуфиналга,4
ураты,4
эбит.,4
1989,4
анкараҕа,4
ааҥыл,4
уордьана,4
олоҕо,4
"дойду,",4
олохтообута.,4
тустан,4
москуба,4
сурукка,4
федерациятын,4
өрөспүүбүлүкэтэ,4
"кыайтаран,",4
мас,4
аҕыс,4
атр,4
тахсыбыт,4
олимпийскай,4
толору,4
түөрт,4
сша,4
уопсайа,4
великобритания,4
миэстэҕэ,4
лондоҥҥа,4
буолбуттара.,4
буддизм,4
эрмээн,4
2:0,4
бириэмийэтин,4
истиэпэнэ,4
таба,4
кыайыылааҕа.,4
страбон,4
аҕата,4
прикладной,3
урбаан,3
тылы,3
593,3
киирбит,3
турнирын,3
швейцария,3
панамериканскай,3
мэтээллээхтэр,3
атлетика,3
оонньуулар,3
илиҥҥи,3
тиэннискэ,3
пааранан,3
иһинэн,3
билимин,3
1984,3
уобалаһын,3
место,3
тылыгар,3
"никарагуа,",3
туттуллар.,3
тыллара,3
гуманитарнай,3
(2012,3
андре,3
мүнүүтэтигэр,3
бириистээх,3
дьахталлар,3
бириэмийэтэ,3
ыччат,3
кыайбыта;,3
улан-удэ,3
университетыгар,3
гёкчен,3
лүөччүк,3
1913,3
үтүө,3
(лат.,3
сотору,3
ииппит,3
пакистан,3
эргииргэ,3
"түмүгэр,",3
"факультета,",3
мусульман,3
көрүҥэ,3
устата,3
итэҕэллээх,3
"тустууга,",3
с.т.).,3
аатын,3
үрдүкү,3
суос-соҕотох,3
култуура,3
оскуолатыгар,3
турбут,3
азербайджан,3
үөскээбит,3
бранкович,3
саҕаланыытыгар,3
5-с,3
микстеҕэ,3
эргиир,3
индонезия,3
69,3
төрөөбүтэ.,3
65,3
кэргэннэригэр,3
бредшоу,3
бастаан,3
уимблдон,3
900,3
кэлбит,3
к.,3
саҕалаабыт.,3
бүтүн,3
ханна,3
оскуолаҕа,3
саҥарыы,3
2000,3
олимпия,3
олорор.,3
оҕо,3
лингвистика,3
үлэтиттэн,3
"да,",3
таддьыык,3
сүһүөх,3
иннинэ,3
мьянма,3
гекчени,3
"тыла,",3
рейтинэ,3
буолуу,3
омуктар,3
курдук,3
көлө,3
оруолу,3
ii,3
тоҕо,3
австралия,3
георгий,3
179,3
тахсар.,3
турнирга,3
миэтэрэни,3
"науру,",3
манастыыр,3
кыайбыта.,3
күрэҕэр,3
адам,3
29,3
"көрөн,",3
дьарыктанар,3
чили,3
991,3
көтөн,3
пити,3
футболга,3
оҥорбут,3
30,3
кэрчиккэ,3
a,3
нью-йорк,3
содружество,3
браһынан,3
сэбиэскэй,3
хинчегашвили,3
55,3
ижевск,3
талыы,3
4-с,3
култуураҕа,3
145,3
онтун,3
бөһүөлэк,3
барыллааһын,3
индия,3
1993,3
хнт,3
күнүттэн,3
билинэр.,3
баартыйа,3
норуодунай,3
манна,3
1995,3
султаан,3
чөмпүйэнээттэригэр,3
кыайтарбыта.,3
16,3
үлэлиир.,3
греко-римскай,3
1:0,3
киирсэр,3
тустуунан,3
цска,3
кубогын,3
былаас,3
сылларга,3
"тутуллубута,",3
дата,3
европа,3
күөл,3
дацааҥҥа,3
суруга,3
ытыы,3
тыырыллыыта,3
урарту,3
2-с,3
көмүскэнэргэ,3
оонньуулара,3
байлз,3
австрия,3
түһүмэҕэр,3
официал,3
перованы,3
с,3
аатырбыт,3
этигэлов,3
"быһыытынан,",3
марта,3
фр.,3
им,3
"1987),",3
үйэтээҕи,3
xvii,3
тара,3
саҕалаан,3
буолар,3
бэлиэ,3
өлбүтүн,3
оробуочай,3
дуган,3
үчүгэй,3
1948,3
олус,3
сурук,3
км2.,3
олохтоох,3
суруллубут,3
анаан,3
ууга,3
гимнастика,3
"паарка,",3
дыбарыаһа,3
марафон,3
хампаанньа,3
баян-тогод,3
төгүл,3
күн,3
сэтинньи,3
стадиона,3
буолуутун,3
таҥара,3
ыччакка,3
хааччыйарга,3
мөлүйүөнтэн,3
хорвааттар,3
учуонайа,3
махов,3
сылдьар,3
турциятааҕы,3
кыттыыта,3
26,3
боливия,3
82,3
хурриттар,3
дьиҥнээх,3
иһин»,3
«аҕа,3
луан,3
хаһан,3
кулууп,3
карьератын,3
соссю́р,3
бүтэһик,3
академиятын,3
тудхалия,3
француз,3
уэмбли,3
үгүс,3
"баар,",3
күрэхтэһиигэ,3
булкаас,3
эбии,3
фердина́нд,3
ыраахтааҕыта,2
онуоха,2
дьобуруопаҕа,2
хамыһаарын,2
тыллаах,2
суоллары,2
дьыллааҕы,2
уу,2
бастаабыта,2
киирэрэ.,2
уотун,2
итини,2
эстэпиэтэтэ,2
сүүрүүтүгэр,2
билэр,2
ливан,2
1935,2
көһөр.,2
армянский,2
билэр.,2
585,2
сирия,2
бириэмэтэ,2
дойдуттан,2
венгрияҕа,2
паарката,2
остров,2
"кыайбыта,",2
туран),2
баарыстаах,2
уһун,2
кинигэни,2
"венесуэла,",2
суруйбута.,2
өтөр,2
ортолоругар,2
15-с,2
ааҕан,2
норуоттарын,2
титулун,2
хампаанньаларын,2
"тутуулар,",2
эрдээһин,2
хадли,2
"россия,",2
тахсар,2
кииҥҥэ,2
кэккэ,2
туурактар,2
"""трудовые",2
329,2
үлэлээбитэ.,2
ханнык,2
арзамасова,2
пинар,2
кэргэнэ,2
(бу,2
o2,2
вьетнам,2
770,2
биэрбиттэрэ.,2
алта,2
(2002,2
тиэкис,2
чопчу,2
кырата,2
эһиилигэр,2
айше,2
көспүттэрэ.,2
биллиилээх,2
баара.,2
"москуба,",2
700,2
"бадминтон,",2
"мадрид,",2
аракыатаны,2
сыллахха,2
саахалын,2
этэринэн,2
хаҥас,2
тоҥолох,2
иһит,2
украина,2
малаай,2
төрөппүттэрэ,2
"ыйылларынан,",2
мурат,2
дьахталларга,2
тэрилтэлэрин,2
тиэрдибитэ.,2
парламеныгар,2
сэриилээн,2
сумскай,2
департаменын,2
сомоҕолоһоллоругар,2
гириэк,2
кыыһын,2
тахсыбыт.,2
эрдээх,2
кытылга,2
судаарыстыбалара,2
сингапур,2
сөкүүндэ,2
1976,2
таһаарар,2
шафак,2
заявленная,2
ыйааһыннаах,2
итэҕэл,2
өлбүтэ.,2
куттал,2
билиитигэр,2
"баскетбол,",2
эвлия,2
номох,2
көстөр,2
нациялар,2
арената,2
билиниллибэтэх,2
лаос,2
билиммит,2
вера,2
дойдулара,2
бырабыыталыстыбата,2
бүтэрэн,2
биллибэт.,2
киһи.,2
бүрэбииста,2
гет-даак,2
уһуллубута.,2
гринвич,2
көтүүтүн,2
кг,2
гет-даактар,2
аҥаарыгар,2
марина,2
пийиэсэни,2
баара-суоҕа,2
134,2
үөрэҕэр,2
суруналыыс,2
ылсыбыта.,2
44,2
бэрт,2
сиртэн,2
"(2014),",2
рождения:,2
олоххо,2
ылар.,2
эмма,2
общей,2
«курс,2
саҕаланыыта,2
премьер-миниистирэ.,2
"с.т.),",2
татиана,2
1946,2
арассыыйаҕа,2
тыллар,2
сэттэ,2
корея),2
узбекистан,2
монголия,2
идэтинэн,2
тэҥэ,2
чөмпүйэнээттэрин,2
