word,frequency
да,3430
диэн,3329
уонна,3314
–,2224
Ол,1675
эрэ,1614
—,1481
биир,1325
Саха,1293
бу,1259
киһи,1223
ол,1207
курдук,1182
Бу,1104
суох,1057
-,990
дьон,936
эмиэ,894
кытта,887
саха,813
баран,810
баар,757
буолан,753
сыл,732
улахан,724
туһунан,681
икки,617
туох,612
этэ.,587
элбэх,545
ити,544
бары,529
атын,525
олус,520
мин,510
эбит.,498
Мин,486
кини,482
хайдах,474
ыйын,471
барыта,466
сирин,464
олох,452
күнүгэр,452
араас,440
оҕо,440
Кини,432
буолар.,425
Ити,420
биһиги,415
Онон,410
саҥа,409
"баран,",403
диэри,398
"да,",397
ону,395
иһин,392
",",387
билигин,385
Ону,384
кэлэн,376
хас,375
Онтон,371
сыллаахха,364
ким,360
бастакы,357
күн,355
Оттон,353
гынан,351
сөп.,351
бэйэтин,345
"курдук,",345
аан,337
дойду,334
сиригэр,326
дии,323
олорор,318
сылдьар,308
тугу,305
сылдьан,300
суох.,297
онно,293
буолла.,293
киирэн,292
өссө,292
сахалыы,291
буолуо,290
кыра,290
Ил,287
Билигин,286
онтон,284
ордук,282
эдэр,280
с.,279
бэйэтэ,279
даҕаны,274
2,273
эбэтэр,272
дьиэ,267
...,263
маннык,261
барытын,260
аайы,258
орто,257
аата,254
дьону,253
саамай,253
аатынан,251
үлэ,251
этэ,249
ис,249
кытары,247
быһыытынан,244
"буолан,",241
баар.,238
норуот,238
турар,238
бэрт,237
оннук,236
манна,235
буолар,234
Манна,232
куорат,232
5,232
ырыа,231
оскуола,231
бииргэ,230
1,230
сиргэ,227
кэмҥэ,227
сөп,227
эн,226
үрдүк,223
ылан,223
:,223
омук,222
туран,221
Биһиги,221
улууһун,220
тылын,219
/,217
онон,217
эрээри,216
эр,214
сүрүн,213
син,212
кэнниттэн,212
ханнык,211
тыл,210
Дьокуускай,209
Биир,207
//,205
дуо?,205
сылга,205
көрөн,203
иһигэр,200
кинилэр,200
Онно,199
киьи,197
тахсан,196
диэки,194
к.,194
олоххо,193
үс,192
Айыы,189
үчүгэй,188
кэннэ,186
эмэ,186
биирдии,185
тыа,184
олорон,184
куоракка,184
төрөөбүт,183
Аны,183
айар,181
үтүө,181
буолбут,178
сир,178
ханна,176
аналлаах,175
.,175
иккис,175
тиийэн,175
наада.,175
;,171
турар.,171
баҕарар,169
тахса,168
Киһи,168
4,167
курдук.,167
саастаах,167
оттон,167
3,167
бэйэлэрин,167
аны,166
кэлбит,166
хаһан,165
Николай,165
СӨ,165
эбит,164
быһа,163
аатын,163
үгүс,162
олохтоох,161
киһини,161
тоҕо,160
диэн.,159
"суох,",159
толору,158
███████,158
Россия,158
анал,158
тылынан,157
кылаас,156
"эрээри,",155
кэмигэр,155
сылларга,155
сатаан,154
буолуо.,154
эбии,154
уу,151
нуучча,151
буолбута.,151
дойдуга,151
итинник,151
Александр,150
буола,148
анаан,148
Бүлүү,147
"дуу,",147
ураты,147
дьэ,147
бастаан,147
төһө,147
уол,147
10,146
үлэлиир,146
үөрэх,146
улаханнык,146
дии.,145
Өрөспүүбүлүкэтин,145
оҕолор,144
буоллар,144
███,144
"буоллаҕына,",143
солк.,143
дылы,142
кэрэ,142
билэр,142
бэйэм,141
өрө,140
төрүт,140
дьахтар,140
"туран,",140
киин,139
██,139
██████,138
киэҥ,137
үлэтин,137
биирдэ,137
санаа,137
дьоно,137
8,135
тутар,134
Арассыыйа,134
"диэн,",133
кинини,133
ааспыт,133
диир,132
хайа,131
Эн,131
устата,131
ааста.,131
Кинилэр,130
буолуон,130
өттүгэр,130
туһугар,129
тутан,129
улуус,129
сахалар,128
ый,128
таһынан,128
тухары,128
мас,128
кэлин,127
от,127
эбитэ,127
9,127
сылын,127
илдьэ,127
Аан,126
үлэлии,126
Иван,126
утары,126
Дьэ,126
6,125
быйыл,125
20,124
аҕыйах,124
Иисус,124
улуу,123
С.,123
гына,123
Түмэн,123
"буоллар,",123
дьоҥҥо,123
██████████,123
ыла,121
устар,121
и,120
"иһин,",120
өрөспүүбүлүкэ,119
хара,119
кэм,119
наһаа,119
иннинэ,118
миигин,118
тута,118
урукку,118
өттүнэн,118
оскуолатын,118
Саҥа,118
"Дьэ,",117
дуу,117
сорох,117
оҥорон,117
тыыннаах,117
туспа,116
тус,115
салгыы,115
кыыс,114
ыччат,114
үрдүнэн,114
олоҕун,113
Арай,113
кинигэ,112
былыргы,112
7,112
Туох,112
Улуу,112
Владимир,110
буоллаҕына,110
"этэ,",110
харчы,110
Таҥара,109
Михаил,109
"Холобур,",109
█████████,109
кэлэр,109
15,107
биллэр,107
ыал,106
тахсар,106
үлэҕэ,106
сылыгар,106
Алексей,106
ырыаны,105
хоту,105
Ким,105
билиҥҥи,105
Оннук,104
үһү.,104
уопсай,104
бөлөх,104
күүстээх,103
Тоҕо,103
чугас,103
Хас,103
ыарахан,103
үлэни,103
сытар,102
хайаан,102
кыайан,102
сылдьар.,101
Николаев,101
миэхэ,100
сылтан,100
"буолбакка,",100
Үөһээ,100
дьонун,100
саныыбын.,100
буолуохтаах.,99
буоларын,99
киэн,98
Онуоха,98
бастыҥ,98
12,98
үчүгэйдик,97
тыла,97
сылдьыбыт,97
национальнай,97
бэйэлэрэ,97
о5о,97
Егор,96
буоллаҕа.,96
баара,96
таба,96
Василий,95
киниэхэ,95
"турар,",95
Быйыл,95
Уонна,94
█████,94
ааттаах,94
Маннык,94
тылы,94
иннигэр,94
сэрии,93
25,93
тыһ.,93
муус,93
түһэн,93
оскуолаҕа,93
эрэр,92
уон,92
оскуолатыгар,92
"эттэххэ,",92
инники,91
билбэт,91
норуотун,91
А.,91
наада,90
дьиэтигэр,90
өр,90
үйэ,90
тахсыбыт,90
биһиэхэ,90
урут,90
тиийэ,90
30,89
тула,89
████,88
11,88
тэрилтэ,88
Таатта,88
бэйэбит,88
уолаттар,87
көмүс,87
федеральнай,87
социальнай,86
сирэ,86
В.,86
Оҕо,86
киинэ,86
тас,86
санаатын,86
кэргэн,85
Маны,85
тимир,85
баай,85
13,85
уһун,85
бааллар.,85
уус-уран,85
үтүөлээх,84
күүскэ,84
Улахан,84
оҕону,84
ылар,84
РФ,84
ытык,84
Айсен,83
күнэ,83
хаалбыт,83
бара,83
Орто,83
киһиэхэ,83
омуктар,83
барар,83
нууччалыы,83
оҕолорго,83
████████,83
киирэр,82
салайааччыта,82
учугэй,82
бөҕө,82
биэс,82
ыытыллар,82
Ойуунускай,81
оҥорор,81
бас,81
Петр,81
нэһилиэгин,81
дуу?,81
маны,81
Дьон,80
нэһилиэгэр,80
суол,80
Дьокуускайга,80
"эбит,",80
этим.,80
балаҕан,80
ээ.,80
Уус,79
оҕолорун,79
Атын,79
норуоттар,79
ыраах,79
Чурапчы,79
Кинини,79
оннугар,79
булан,79
в,78
үлэтэ,78
«Саха,78
тылларын,78
Бары,78
киһитэ,78
Олоҥхо,78
Олох,77
былаас,77
18,77
"эрэ,",77
|,77
улууһугар,77
олорор.,77
сөптөөх,77
үөрэтэр,76
нэһилиэк,76
түөрт,76
»,76
эрдэ,76
бэйэ,76
кыттыыны,75
Мария,75
Бастакы,75
сайын,75
айылҕа,75
наар,75
сыллаах,75
ССРС,75
диэни,75
иьин,75
үһүс,74
хантан,74
кырдьык,74
баҕа,74
"ылан,",74
этэр,74
тэрийэн,73
тылыгар,73
иһэр,73
республика,73
эһиги,73
эҥин,72
дьоммут,72
иһинэн,72
тэҥэ,72
оҕолоро,72
19,72
мөл.,72
"сылдьан,",72
саас,72
суолталаах,72
көрө,72
киирбит,72
туохха,71
буолбут.,71
ыытылынна.,71
Инньэ,71
хаһыат,71
17,71
"кэлэн,",71
эйгэтигэр,70
халлаан,70
16,70
учуутал,70
Алтынньы,70
нөҥүө,70
Дмитрий,70
төрөөбүтэ,70
ыраас,69
суоҕа.,69
100,69
буолбатах.,69
аныгы,69
--,69
"күнүгэр,",69
буолбатах,69
үлэлээн,69
"баар,",69
Амма,69
█████████████████,69
Хаҥалас,69
миэстэни,68
хаһаайыстыбатын,68
ыытыллыбыт,68
күрэх,68
Тойон,68
бэйэтигэр,68
арыый,68
буолла,68
ыйыгар,68
элбэҕи,68
дьоллоох,68
уола,68
суруйан,68
[...],67
талааннаах,67
Тимир,67
ааты,67
Икки,67
сылы,67
ырыаларын,67
баһылыга,67
Хаҥалас.,67
21,67
50,66
*,66
сокуон,66
████████████,66
буолаллар.,66
уо.д.а.,66
Муус,66
барбыт,66
ахсааннаах,66
олоҕу,66
хос,66
били,66
этибит.,66
түмүгэр,66
дьоннор,66
киэҥник,66
туттар,66
барбыта.,65
буолара,65
түргэнник,65
Дархан,65
сааһын,65
тэрээһин,65
олорбут,65
сырдык,65
сыллар,65
истэн,65
буоллаҕа,65
"киһи,",65
игин,65
киhи,65
көрөр,65
бэркэ,65
саҕана,64
Аҕа,64
Саамай,64
этэн,64
27,64
14,64
22,64
бүтүн,64
илии,64
сүрдээх,64
үрдүгэр,64
кинилэргэ,64
буолуохтаах,64
Урут,64
дииллэр.,64
ситиһиилээхтик,64
диэххэ,64
уот,63
судаарыстыбаннай,63
баарын,63
тутуу,63
наьаа,63
диир.,63
ылбыт,63
кинилэри,63
бэс,63
сарсыарда,63
барда.,63
"таһынан,",63
эрдэттэн,62
төттөрү,62
киинигэр,62
ийэ,62
култуура,62
"киирэн,",62
санаалаах,62
"буолуо,",62
үлэһит,62
Оскуола,61
элбэхтик,61
ас,61
"Онон,",61
ардыларынааҕы,61
туора,61
ардыгар,61
күннэригэр,61
Итинник,61
ортотугар,61
дьиэтин,61
көҥүл,61
Алдан,61
диэбит,61
кэллэ.,60
букатын,60
киинин,60
бэрэссэдээтэлэ,60
ыытар,60
кэриэтэ,60
сэбиэскэй,60
Кэлин,60
иһэн,60
"буолар,",60
үөрэнэ,60
кэпсэтии,60
эттэ.,60
быһыылаах.,59
"даҕаны,",59
аҕа,59
көтөн,59
күҥҥэ,59
сайдыытын,59
сурук,58
аттыгар,58
суоҕа,58
эрэн,58
"дьэ,",58
эйиэхэ,58
чахчы,58
Күн,58
Сахалар,58
бүгүн,58
суруйар,58
I,58
Мэҥэ,58
Сахалыы,58
Миигин,58
26,58
культуратын,57
бар,57
Хайдах,57
кэпсээн,57
28,57
дьонтон,57
Николаевич,57
өрөспүүбүлүкэтээҕи,57
куруук,57
"көрөн,",57
эйигин,57
чэрчитинэн,57
Ийэ,57
таас,57
өрүс,57
культура,57
сылаас,56
мээнэ,56
мэлдьи,56
24,56
кэлэ,56
Билиҥҥи,56
СР,56
Кулун,56
"дьон,",56
анаммыт,56
оҕолору,56
о,56
чаас,56
дьиэҕэ,56
2017,56
барар.,56
саҕалаан,56
киэһэ,56
биллэр.,56
таһымнаах,55
Г.,55
кэмэ,55
бэйэҥ,55
ыам,55
кунугэр,55
кыһыл,55
киирбитэ.,55
Илин,55
о5олор,55
сири,55
буоллулар.,55
бочуоттаах,55
элбэх.,55
23,55
дириэктэрэ,54
анныгар,54
ууга,54
Эдэр,54
соҕотох,54
тардан,54
Эр,54
үөрүүлээх,54
кырдьаҕас,54
эппитэ:,54
Оччолорго,54
биирдиилээн,54
хотугу,54
Киниэхэ,54
ситэ,54
улууска,54
Уһук,54
сотору,54
солбуйааччы,54
Н.,54
Сыл,54
айан,53
ахсаана,53
үөрэнэр,53
Сэтинньи,53
Биллэн,53
Иккис,53
оччоҕо,53
кылгас,53
холобур,53
2018,53
Ааспыт,53
29,53
тураллар.,53
куһаҕан,53
наука,53
атырдьах,53
И.,53
арай,53
Борисов,53
Бэс,52
кимиэхэ,52
остуол,52
биллиилээх,52
дьиҥнээх,52
күннэргэ,52
дьонугар,52
үлэлэрин,52
үлэһиттэрэ,52
ылла.,52
"дии,",52
кылааска,52
алын,52
сылдьаллар.,52
Өссө,52
үлэлээбит,52
оройуонун,52
үөрэҕин,52
үрүҥ,51
сана,51
кыратык,51
ыйга,51
сыһыаннаах,51
дойдуну,51
да5аны,51
олороллор.,51
сырыыга,51
Нам,51
дьон-сэргэ,51
с,51
сайдыытыгар,51
литературнай,51
чопчу,51
кулун,51
этилэр.,51
санаан,51
үөрэтии,51
ааһан,51
на,51
М.,50
барахсан,50
Сунтаар,50
соҕуруу,50
сэргэ,50
Барыта,50
оҕонньор,50
"буоллахха,",50
