dataset,metric,language,mean,std,min,max,median,language_pair
tatoeba,char_len,en,30.523713420787082,12.080504067289974,5.0,135.0,28.0,
tatoeba,word_len,en,5.1099899091826435,1.985556711464955,1.0,20.0,5.0,
tatoeba,char_len,ru,30.53380423814329,12.054615510629667,7.0,135.0,28.0,
tatoeba,word_len,ru,6.409687184661958,2.364652792978422,2.0,26.0,6.0,
tatoeba,char_len,sah,28.5832492431887,10.981383785106267,7.0,130.0,27.0,
tatoeba,word_len,sah,3.8799192734611503,1.5804073102222465,1.0,17.0,4.0,
tatoeba,char_ratio,,1.0010205090319289,0.020794468216500862,0.8823529411764706,1.4,1.0,ru/en
tatoeba,word_ratio,,1.272200615843401,0.12414599890765197,1.0,2.5,1.25,ru/en
tatoeba,char_ratio,,0.9785913555277685,0.28138895737190683,0.4,2.6,0.9333333333333333,sah/en
tatoeba,word_ratio,,0.7959983255896476,0.2613452950062832,0.3333333333333333,2.5,0.75,sah/en
tatoeba,char_ratio,,0.9775130166936435,0.28019527225565716,0.4,2.6,0.9333333333333333,sah/ru
tatoeba,word_ratio,,0.6244006848068402,0.18779224150335572,0.25,1.6666666666666667,0.6,sah/ru
