en,ru,sah,dataset,en_char_len,en_word_len,ru_char_len,ru_word_len,sah_char_len,sah_word_len,en_ru_char_ratio,en_ru_word_ratio,en_sah_char_ratio,en_sah_word_ratio,ru_sah_char_ratio,ru_sah_word_ratio
"Sychuan - February 19, 1997, Beijing) - Chinese politician and reformer, leader of the Communist Party of China.","Сычуань — 19 февраля 1997, Пекин) — китайский политик и реформатор, деятель Коммунистической партии Китая.","Сычуань — 19 февраля 1997, Пекин) — кытай бэлиитигэ уонна реформатора, Кытай Хомуньуус Баартыйатын диэйэтэлэ.",wikimedia,112,18,106,19,109,15,0.9464285714285714,1.0555555555555556,0.9732142857142857,0.8333333333333334,1.028301886792453,0.7894736842105263
"Dan never held the post of head of the country, but was the actual leader of China from the late 1970s to the early 1990s.","Дэн никогда не занимал пост руководителя страны, но был фактическим руководителем Китая с конца 1970-х до начала 1990-х гг.","Дэн хаһан даҕаны дойдуну салайар дуоһунаска олорботоҕо, ол эрээри 1970 сылтан 1990 сылга дылы Кытай дьиҥнээх салайааччыта этэ.",wikimedia,122,25,123,21,126,18,1.0081967213114753,0.84,1.0327868852459017,0.72,1.024390243902439,0.8571428571428571
Dan Xiaopin while studying in France,Дэн Сяопин во время учёбы во Франции,Дэн Сяопин Францияҕа үөрэнэ сылдьар кэмэ,wikimedia,36,6,36,7,40,6,1.0,1.1666666666666667,1.1111111111111112,1.0,1.1111111111111112,0.8571428571428571
Church of the company,Церковь Компаниа,Компаниа таҥара дьиэтэ,wikimedia,21,4,16,2,22,3,0.7619047619047619,0.5,1.0476190476190477,0.75,1.375,1.5
"KUSCO (Spanish Cuzco, Kechau Qusqu, Qosqo) is a city in the southwest of Peru, the administrative center of the Cuzco region and the province of the same name.","Ку́ско (исп. Cuzco, кечуа Qusqu, Qosqo) — город на юго-западе Перу, административный центр региона Куско и одноимённой провинции.","Ку́ско (исп. Cuzco, кечуа Qusqu, Qosqo) — Перу соҕуруулуу-арҕаа өттүгэр баар куорат, Куско регионун административнай киинэ уонна итинник аатта провинция.",wikimedia,159,28,129,25,153,20,0.8113207547169812,0.8928571428571429,0.9622641509433962,0.7142857142857143,1.186046511627907,0.8
The population is 319.4 thousand people (2002).,"Население — 319,4 тыс. человек (2002).","Олорор дьонун ахсаана — 319,4 тыс. киһи (2002).",wikimedia,47,7,38,10,47,8,0.8085106382978723,1.4285714285714286,1.0,1.1428571428571428,1.236842105263158,0.8
View of Mount Wine-Picchu and ruins machu-picchu at dusk,Вид на гору Уайна-Пикчу и руины Мачу-Пикчу в сумерках,Уайна-Пикчу хайа уонна Мачу-Пикчу руина боруҥуй быыһыгар көстүүтэ,wikimedia,56,9,53,9,65,8,0.9464285714285714,1.0,1.1607142857142858,0.8888888888888888,1.2264150943396226,0.8888888888888888
"Victor Marie Hugo [4] (French Victor Marie Hugo [Viktɔʁ maʁi yˈɡo]; February 26, 1802, Bezanson - May 22, 1885, Paris) - French writer (poet, prose writer and playwright), head and theorist of French romanticism.","Викто́р Мари́ Гюго́[4] (фр. Victor Marie Hugo [viktɔʁ maʁi yˈɡo]; 26 февраля 1802, Безансон — 22 мая 1885, Париж) — французский писатель (поэт, прозаик и драматург), глава и теоретик французского романтизма.","Викто́р Мари́ Гюго́[4] (фр. Victor Marie Hugo [viktɔʁ maʁi yˈɡo]; 1802 олунньу 26 күнэ, Безансон — 1885 ыам ыйын 22 күнэ, Париж) — Франция суруйааччыта (поэт, прозаик уонна драматург), француз романтизмын сүрүннээччитэ уонна теоретига.",wikimedia,212,34,207,47,235,34,0.9764150943396226,1.3823529411764706,1.1084905660377358,1.0,1.1352657004830917,0.723404255319149
Member of the French Academy (1841).,Член Французской академии (1841).,Француз академиятын (1841) чилиэнэ.,wikimedia,36,6,33,7,35,4,0.9166666666666666,1.1666666666666667,0.9722222222222222,0.6666666666666666,1.0606060606060606,0.5714285714285714
Victor Hugo in his youth,Виктор Гюго в молодости,Виктор Гюго эдэр сылдьан,wikimedia,24,5,23,4,24,4,0.9583333333333334,0.8,1.0,0.8,1.0434782608695652,1.0
"Aleksandr Andreyevich Bunga (1803-1890)-German-Russian botanist, a full member of the Imperial St. Petersburg Academy of Sciences, professor of Derptic University.","Алекса́ндр Андре́евич Бу́нге (1803—1890) — немецко-русский ботаник, действительный член Императорской Санкт-Петербургской Академии наук, профессор Дерптского университета.","Алекса́ндр Андре́евич Бу́нге (1803—1890) — немец-нуучча ботанига, Император Санкт-Петербургдааҕы Академия наукатын дьиҥнээх чилиэнэ, Дерптскай университетын профессора.",wikimedia,163,20,171,21,168,16,1.049079754601227,1.05,1.030674846625767,0.8,0.9824561403508771,0.7619047619047619
