dataset,metric,language,mean,std,min,max,median,language_pair
wikimedia,char_len,en,108.50105708245243,112.8025408685222,5.0,1206.0,84.0,
wikimedia,word_len,en,18.051797040169134,19.01011877434879,1.0,227.0,15.0,
wikimedia,char_len,ru,104.446088794926,108.73065479231049,4.0,1330.0,79.5,
wikimedia,word_len,ru,18.476744186046513,21.069499216145267,1.0,301.0,14.0,
wikimedia,char_len,sah,106.02642706131078,108.76566889162602,3.0,1366.0,83.0,
wikimedia,word_len,sah,13.494714587737844,16.43555552034579,1.0,249.0,10.0,
wikimedia,char_ratio,,3.9139407133236035,10.16472812139314,0.012396694214876033,174.8,0.9552947052947054,ru/en
wikimedia,word_ratio,,4.194944713489161,11.404591962307638,0.00881057268722467,179.0,1.0,ru/en
wikimedia,char_ratio,,1.1327021174177874,0.5043888910271023,0.2847124824684432,4.649484536082475,1.0208333333333333,sah/en
wikimedia,word_ratio,,0.8181533927481092,0.3079327961229685,0.3125,2.6842105263157894,0.7703296703296704,sah/en
wikimedia,char_ratio,,3.4907690032147,8.253228896473919,0.010113780025284451,84.0,1.0719461697722568,sah/ru
wikimedia,word_ratio,,3.022406870187361,8.158699304453906,0.00558659217877095,124.5,0.7727272727272727,sah/ru
